"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",42,"Business travel","Business",507,"5","5","5","5","5","4","5","2","2","2","2","3","2","5",0,0,"satisfied"
"Male","Loyal Customer",52,"Personal Travel","Eco",547,"4","3","4","4","3","4","3","3","2","5","1","3","1","3",5,0,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Business travel","Business",1991,"2","2","2","2","2","5","4","5","5","5","4","5","5","5",0,0,"satisfied"
"Female","Loyal Customer",22,"Personal Travel","Eco Plus",358,"3","2","2","3","1","2","1","1","2","2","3","3","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Personal Travel","Eco",466,"3","4","3","1","2","3","2","2","5","2","5","3","4","2",72,88,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business travel","Business",666,"4","4","4","4","3","3","4","4","4","4","4","2","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Business travel","Eco",1535,"2","1","1","1","2","2","2","2","2","2","3","3","2","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business travel","Eco",1728,"2","1","4","1","1","2","2","1","1","2","1","2","1","2",0,13,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Personal Travel","Eco",569,"4","3","4","1","1","4","1","1","3","1","4","5","2","1",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",23,"Business travel","Eco",95,"3","4","3","2","2","3","2","2","3","3","4","5","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Eco",594,"1","3","3","3","2","3","2","1","1","1","1","2","1","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Business travel","Business",515,"5","5","5","5","2","3","3","5","5","5","5","4","5","3",43,26,"satisfied"
"Female","Loyal Customer",34,"Personal Travel","Eco",929,"3","4","3","1","2","3","2","2","3","5","5","5","4","2",0,18,"neutral or dissatisfied"
"Male","Loyal Customer",52,"Business travel","Business",764,"3","3","3","3","3","4","5","5","5","5","5","5","5","5",3,0,"satisfied"
"Male","Loyal Customer",24,"Personal Travel","Eco",1608,"3","4","3","1","2","3","2","2","3","3","5","3","4","2",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Eco",718,"3","3","3","5","2","3","2","2","3","2","1","2","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business travel","Business",368,"3","3","3","3","4","4","4","4","4","4","4","4","4","3",0,0,"satisfied"
"Male","Loyal Customer",58,"Personal Travel","Eco",361,"0","5","0","3","4","0","4","4","5","4","4","3","4","4",11,15,"satisfied"
"Female","Loyal Customer",32,"Business travel","Eco Plus",773,"4","5","5","5","4","4","4","4","5","1","3","4","4","4",12,14,"satisfied"
"Male","Loyal Customer",22,"Personal Travel","Eco",479,"4","2","4","4","4","4","1","4","1","5","4","2","4","4",0,43,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Personal Travel","Eco",1514,"1","4","1","2","1","1","1","1","4","2","5","3","4","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",3544,"4","4","4","4","1","4","3","1","1","1","4","3","1","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Personal Travel","Eco",679,"4","3","4","3","1","4","1","1","2","5","5","1","5","1",11,0,"neutral or dissatisfied"
"Male","Loyal Customer",71,"Business travel","Business",2327,"1","1","1","1","5","4","2","4","4","4","4","2","4","2",0,0,"satisfied"
"Female","Loyal Customer",28,"Business travel","Eco",1189,"4","4","4","4","4","4","4","4","1","4","2","1","1","4",0,0,"satisfied"
"Male","Loyal Customer",31,"Business travel","Business",1743,"1","1","1","1","5","5","5","5","5","1","3","2","5","5",1,0,"satisfied"
"Male","Loyal Customer",49,"Business travel","Eco",627,"2","2","2","2","2","2","2","2","4","5","4","1","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",69,"Personal Travel","Eco",239,"3","4","3","5","1","3","5","2","2","3","2","5","2","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Personal Travel","Eco",227,"1","5","1","1","1","1","1","1","4","2","5","5","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business travel","Business",693,"2","2","2","2","2","2","2","2","1","4","3","3","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",67,"Business travel","Eco",633,"3","5","1","5","3","3","4","3","3","3","3","3","3","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Business travel","Eco",387,"4","2","2","2","4","4","4","4","4","5","2","5","1","4",0,0,"satisfied"
"Male","Loyal Customer",22,"Business travel","Eco",644,"3","1","1","1","3","3","1","3","2","3","3","1","4","3",7,10,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business travel","Business",1506,"3","3","3","3","5","5","5","5","3","4","4","4","4","5",92,69,"satisfied"
"Female","Loyal Customer",55,"Business travel","Business",1874,"2","2","2","2","5","5","4","5","5","5","5","3","5","5",10,0,"satisfied"
"Female","disloyal Customer",10,"Business travel","Eco",964,"0","0","0","2","1","0","1","1","3","2","4","5","4","1",10,0,"satisfied"
"Male","disloyal Customer",22,"Business travel","Eco",399,"2","0","2","3","5","2","5","5","1","1","4","3","3","5",2,4,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Business",3638,"5","5","5","5","3","5","4","4","4","4","4","5","4","4",39,40,"satisfied"
"Female","Loyal Customer",19,"Business travel","Eco Plus",524,"4","4","4","4","4","4","4","4","4","1","3","1","2","4",4,0,"satisfied"
"Female","Loyal Customer",45,"Business travel","Business",2684,"3","3","3","3","2","4","4","4","4","4","4","5","4","4",0,0,"satisfied"
"Female","Loyal Customer",15,"Business travel","Eco Plus",846,"2","3","3","3","2","3","3","2","2","4","3","1","3","2",8,18,"neutral or dissatisfied"
"Male","Loyal Customer",15,"Personal Travel","Eco",563,"3","4","3","1","4","3","4","4","4","3","5","5","4","4",49,36,"neutral or dissatisfied"
"Female","Loyal Customer",32,"Business travel","Business",2300,"3","3","3","3","5","5","5","5","5","4","5","4","5","5",1,0,"satisfied"
"Male","Loyal Customer",38,"Business travel","Business",458,"2","2","2","2","1","5","2","4","4","4","4","4","4","5",14,6,"satisfied"
"Male","Loyal Customer",66,"Business travel","Eco",241,"4","1","1","1","4","4","4","4","4","2","3","4","1","4",10,0,"satisfied"
"Female","Loyal Customer",36,"Business travel","Eco",843,"4","5","5","5","4","4","4","4","5","1","2","5","1","4",0,0,"satisfied"
"Male","Loyal Customer",7,"Personal Travel","Eco",1037,"5","5","5","5","2","5","2","2","5","5","4","5","4","2",0,0,"satisfied"
"Male","Loyal Customer",54,"Business travel","Eco",1297,"4","4","4","4","4","4","4","4","3","3","4","2","1","4",0,0,"satisfied"
"Female","Loyal Customer",26,"Business travel","Business",589,"4","1","1","1","4","4","4","4","3","3","4","2","4","4",30,17,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Business travel","Business",2611,"1","1","1","1","4","3","3","5","4","5","4","3","3","3",0,0,"satisfied"
"Female","disloyal Customer",37,"Business travel","Eco",577,"4","3","4","2","5","4","5","5","5","5","1","3","5","5",0,28,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Business",1587,"1","5","5","5","1","4","3","1","1","1","1","4","1","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",1668,"3","3","3","3","2","4","5","5","5","5","5","5","5","3",0,0,"satisfied"
"Female","Loyal Customer",67,"Personal Travel","Eco",110,"2","4","2","4","3","3","3","2","2","2","4","2","2","3",2,3,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",409,"5","0","5","4","4","5","4","4","5","2","4","4","5","4",0,0,"satisfied"
"Male","Loyal Customer",40,"Business travel","Business",1542,"2","4","4","4","2","3","4","2","2","1","2","3","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Personal Travel","Eco",2176,"4","3","4","2","4","3","3","1","1","4","1","4","1","2",0,14,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Business travel","Business",2475,"2","2","2","2","4","4","4","4","3","2","4","5","4","4",14,0,"satisfied"
"Female","Loyal Customer",14,"Personal Travel","Eco",209,"2","4","0","3","2","0","2","2","3","3","3","4","4","2",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",24,"Business travel","Business",456,"0","0","0","4","2","0","2","2","5","3","4","4","5","2",0,0,"satisfied"
"Male","Loyal Customer",47,"Business travel","Business",1718,"2","2","2","2","3","5","5","3","3","4","3","5","3","3",0,0,"satisfied"
"Female","Loyal Customer",25,"Personal Travel","Eco",429,"1","4","1","2","1","1","1","1","3","2","3","3","2","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Business travel","Business",3662,"2","2","2","2","2","4","4","4","4","4","4","5","4","5",0,0,"satisfied"
"Female","disloyal Customer",22,"Business travel","Business",651,"5","5","5","1","4","5","4","4","4","2","5","5","4","4",0,0,"satisfied"
"Female","disloyal Customer",37,"Business travel","Business",159,"5","5","5","4","4","5","4","4","3","5","4","3","4","4",0,0,"satisfied"
"Female","disloyal Customer",37,"Business travel","Business",312,"4","4","4","1","2","4","2","2","5","2","5","5","4","2",0,0,"satisfied"
"Female","disloyal Customer",38,"Business travel","Eco",237,"2","1","2","3","2","3","2","4","3","2","3","2","4","2",196,214,"neutral or dissatisfied"
"Male","Loyal Customer",58,"Personal Travel","Eco",500,"3","4","5","3","3","5","3","3","4","2","4","5","5","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Business travel","Business",3459,"3","3","3","3","4","4","4","4","4","3","4","4","1","4",13,10,"satisfied"
"Male","Loyal Customer",19,"Business travel","Business",1197,"4","4","4","4","3","4","3","3","1","3","3","4","1","3",0,7,"satisfied"
"Male","Loyal Customer",60,"Business travel","Business",1880,"3","3","3","3","4","4","5","5","5","5","5","3","5","3",0,0,"satisfied"
"Male","Loyal Customer",42,"Business travel","Eco",134,"2","2","2","2","2","2","2","2","3","4","3","2","1","2",143,159,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business travel","Business",1645,"2","2","2","2","5","5","4","4","4","4","4","4","4","5",7,8,"satisfied"
"Male","Loyal Customer",65,"Personal Travel","Eco",226,"4","5","4","3","5","4","5","5","4","5","4","3","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Business travel","Business",2338,"3","3","3","3","5","4","4","3","3","3","3","4","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Business travel","Business",3702,"2","1","1","1","2","3","2","2","1","3","1","3","1","2",2,14,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Eco",632,"1","3","3","3","2","1","2","2","4","5","2","3","1","2",0,8,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Eco",700,"3","2","2","2","3","3","3","3","2","5","2","1","2","3",34,27,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Business travel","Business",3640,"4","4","4","4","2","4","5","5","5","5","5","4","5","4",31,47,"satisfied"
"Female","Loyal Customer",13,"Personal Travel","Eco",1501,"3","5","3","4","2","3","2","2","3","3","4","3","5","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",65,"Business travel","Eco",641,"1","2","2","2","4","4","4","1","1","1","1","1","1","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Business travel","Business",1523,"5","5","5","5","5","5","5","2","2","2","2","3","2","4",43,54,"satisfied"
"Female","Loyal Customer",18,"Business travel","Business",874,"3","2","2","2","3","3","3","3","1","4","4","2","3","3",13,0,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business travel","Business",3933,"1","1","1","1","5","5","5","5","5","5","5","3","5","5",7,4,"satisfied"
"Female","Loyal Customer",48,"Business travel","Business",223,"4","4","4","4","5","5","4","5","5","5","5","5","5","4",0,0,"satisfied"
"Female","Loyal Customer",45,"Business travel","Business",1868,"4","4","4","4","4","4","5","3","3","3","3","3","3","4",0,0,"satisfied"
"Female","disloyal Customer",27,"Business travel","Eco",954,"3","3","3","3","3","3","3","3","5","3","3","5","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Personal Travel","Eco",735,"2","4","2","4","5","2","5","5","3","5","4","3","5","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",3031,"3","3","3","3","4","3","3","5","5","5","5","3","5","4",0,2,"satisfied"
"Male","disloyal Customer",25,"Business travel","Business",541,"2","5","1","3","4","1","3","4","4","5","5","4","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Eco",2475,"4","3","3","3","3","5","1","4","4","4","4","3","4","2",0,0,"satisfied"
"Female","Loyal Customer",35,"Business travel","Business",3093,"2","2","2","2","5","5","5","5","5","5","5","4","5","5",0,0,"satisfied"
"Female","Loyal Customer",45,"Business travel","Business",280,"2","2","2","2","4","4","4","4","4","4","4","3","4","5",0,0,"satisfied"
"Female","disloyal Customer",37,"Business travel","Business",481,"4","4","4","2","3","4","3","3","4","3","5","3","5","3",0,3,"satisfied"
"Male","Loyal Customer",49,"Business travel","Eco",896,"4","5","5","5","4","4","4","4","4","5","1","3","5","4",0,0,"satisfied"
"Female","Loyal Customer",52,"Business travel","Business",496,"1","1","1","1","2","4","4","5","5","5","5","5","5","5",0,1,"satisfied"
"Male","Loyal Customer",49,"Business travel","Eco Plus",86,"2","3","3","3","1","2","1","1","2","2","4","2","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",32,"Business travel","Business",366,"1","1","1","1","1","1","1","1","4","2","4","2","3","1",0,0,"neutral or dissatisfied"
